用户\用户,管理员张志诚,审核员张明远,审核员王磊,房志博,陈旭,孙浩,赵文博,孙国韦,赵文博,房志博,房志博,房志博,房志博,房,房志博,张,房志博
管理员张志诚,1.0,0.016326476768456687,0.0,1.0,0.8397511480587654,1.0,0.7080334251533061,0.0,0.7640567058355997,0.9706115727710078,1.0,0.8040148848861647,0.7983975194548085,0.7413033984417602,0.542925890156203,0.0,0.0
审核员张明远,0.016326476768456687,1.0,0.0,0.0,0.26241470891850294,0.99848961273314,0.26311740579210874,1.0,0.7399400733959438,0.3052383630489624,0.430706308152722,0.46794925668246945,0.5890418682216408,0.7519012019735907,0.8186673262922903,0.0,0.0
审核员王磊,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
房志博,1.0,0.0,0.0,1.0,0.9001610850631567,0.0,1.0,0.0,0.8741572761215376,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,0.0,0.0
陈旭,0.8397511480587654,0.26241470891850294,0.0,0.9001610850631567,1.0,0.9761870601839528,0.9761050969112689,1.0,0.89259755168011,0.4832798539489171,0.4223719280876365,0.2823459739101153,0.8206119751026008,0.741619969365678,0.5274785073956393,1.0,1.0
孙浩,1.0,0.99848961273314,0.0,0.0,0.9761870601839528,1.0,1.0,0.0,1.0,0.7668115805072325,0.6735753140545636,0.4784653909506737,0.9417419115948374,1.0,0.8201662469723273,0.0,0.0
赵文博,0.7080334251533061,0.26311740579210874,0.0,1.0,0.9761050969112689,1.0,1.0,0.0,0.8853422931715315,0.5110753928771499,1.0,0.4191297423079543,0.7956568536259854,0.6286816772256836,0.48819700049919046,0.0,0.0
孙国韦,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
赵文博,0.7640567058355997,0.7399400733959438,0.0,0.8741572761215376,0.89259755168011,1.0,0.8853422931715315,0.0,1.0,0.6414206393395097,1.0,0.7781627597757133,0.9814329841314369,0.8963881445476722,0.8292143835277432,0.0,0.0
房志博,0.9706115727710078,0.3052383630489624,0.0,1.0,0.4832798539489171,0.7668115805072325,0.5110753928771499,1.0,0.6414206393395097,1.0,0.7100666314871802,0.8281556982024071,0.8616690975941992,0.8764598212022147,0.8742723615972118,0.0,0.0
房志博,1.0,0.430706308152722,0.0,1.0,0.4223719280876365,0.6735753140545636,1.0,1.0,1.0,0.7100666314871802,1.0,0.29232717908240347,0.8787395124657408,0.739600261633639,0.4456471682860764,0.0,0.0
房志博,0.8040148848861647,0.46794925668246945,0.0,0.9999999999999998,0.2823459739101153,0.4784653909506737,0.4191297423079543,0.0,0.7781627597757133,0.8281556982024071,0.29232717908240347,1.0,0.6071384832539501,0.9143389191006617,0.7982990537647006,0.0,0.0
房志博,0.7983975194548085,0.5890418682216408,0.0,1.0,0.8206119751026008,0.9417419115948374,0.7956568536259854,1.0,0.9814329841314369,0.8616690975941992,0.8787395124657408,0.6071384832539501,1.0,0.8764598212022147,0.8246093828164948,0.0,0.0
房,0.7413033984417602,0.7519012019735907,0.0,1.0,0.741619969365678,1.0,0.6286816772256836,1.0,0.8963881445476722,0.8764598212022147,0.739600261633639,0.9143389191006617,0.8764598212022147,1.0,0.9614727699786615,0.0,0.0
房志博,0.542925890156203,0.8186673262922903,1.0,1.0,0.5274785073956393,0.8201662469723273,0.48819700049919046,1.0,0.8292143835277432,0.8742723615972118,0.4456471682860764,0.7982990537647006,0.8246093828164948,0.9614727699786615,1.0,0.0,0.0
张,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
房志博,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
